Johanna,45.9*,56200,2.7561305,0.06555805,8.24062,94.76653,31.21395,125.9662914
Nemesis,94,56200,2.7508141,0.12464678,6.24892,303.07869,76.40603,274.0153005
Antigone,81*,56200,2.8764126,0.2107236,12.20529,109.71263,136.02258,175.1121552
Elektra,79.1*,56200,3.1245265,0.20882232,22.86226,235.55756,145.42286,239.7277716
Vala,20.7*,56200,2.4312906,0.06754456,4.96064,161.18909,65.69781,284.8242799
Aethra,30.2*,56200,2.6086369,0.389571,24.99493,255.17459,258.4375,70.64811
Cyrene,53.2*,56200,3.0604023,0.1389059,7.22667,290.40167,319.10044,57.8589676
Sophrosyne,37.2*,56200,2.5631512,0.11634537,11.59518,85.12217,346.02653,253.1887689
Hertha,47.4*,56200,2.4300421,0.20599356,2.3033,340.32415,343.79014,72.590511
Austria,24.2*,56200,2.2867259,0.08538142,9.57263,132.26546,186.51318,253.5065479
Meliboea,51.5*,56200,3.1192896,0.21756015,13.4127,107.00741,202.37829,330.5931794
Tolosa,37.3*,56200,2.4488759,0.16174714,3.20682,259.85134,54.90771,349.2901275
Juewa,58.4*,56200,2.781548,0.17511152,10.90726,165.92566,1.85969,122.3825838
Siwa,45.1*,56200,2.7320132,0.21659454,3.18656,196.9173,107.27104,254.9247067
Lumen,48.1*,56200,2.6659115,0.21294691,11.88622,58.35517,318.54309,335.1746906
Polana,18.5*,56200,2.4175471,0.1360767,2.23764,291.61939,291.31778,134.52766
Adria,31.5*,56200,2.7602578,0.07320173,11.44907,253.51849,333.08665,284.3347151
Vibilia,55*,56200,2.6545215,0.23547531,4.80786,293.44023,76.435,182.0093144
Adeona,49.7*,56200,2.6724679,0.14551534,12.63927,44.25598,77.43999,277.7828614
Lucina,48.1*,56200,2.718001,0.06575468,13.09479,146.90605,83.984,250.2796732
Protogeneia,46.6*,56200,3.1358216,0.02897576,1.9303,102.15222,248.39057,203.057991
Gallia,62.5*,56200,2.7727342,0.18464324,25.30817,252.2424,145.10236,212.1431989
Medusa,15.1*,56200,2.1749267,0.0647668,0.93835,250.71678,159.64384,210.30604
Nuwa,47.4*,56200,2.9831844,0.12697132,2.19327,151.60235,206.26031,230.3633947
Abundantia,29.8*,56200,2.5910894,0.0350599,6.43872,132.27248,38.96699,169.83894
Atala,45.3*,56200,3.1416319,0.0764081,12.11195,58.78933,39.99411,165.60056
Hilda,67*,56200,3.9720608,0.1383915,7.82776,38.86872,228.17309,237.26311
Bertha,64*,56200,3.2018762,0.0775707,20.99325,157.56031,36.85386,245.68863
Scylla,11.1*,56200,2.7547255,0.2781421,11.39394,45.9884,41.03568,291.79626
Xanthippe,39.3*,56200,2.7274987,0.22640194,9.7762,338.49576,241.86455,316.442981
Dejanira,15.9*,56200,2.5819744,0.1959109,12.16279,46.08996,62.09259,339.66386
Koronis,29.4*,56200,2.8678265,0.0531731,1.00153,141.76108,278.01682,92.01642
Aemilia,49.9*,56200,3.1062602,0.11002616,6.12386,333.59134,134.20172,321.358559
Una,32.1*,56200,2.7283496,0.0647309,3.82381,52.01042,8.65082,199.11799
Athor,31.1*,56200,2.3795139,0.1371822,9.0547,294.13366,18.73373,333.7565511
Laurentia,36*,56200,3.0186825,0.17822765,6.09739,115.97117,35.57264,37.3130533
Erigone,26.8*,56200,2.3665981,0.19106128,4.8138,298.36874,160.19808,261.0100097
Eva,35*,56200,2.6341574,0.34477145,24.47013,283.55298,77.10189,257.1240501
Loreley,62*,56200,3.124037,0.08459104,11.22533,348.09791,302.55548,235.3866956
